profession,applicants,admitted_studests,rate
光子学与光子技术,0,1,0
免疫学,0,5,0
党的建设,2,10,0.2
病理学与病理生理学,1,4,0.25
凝聚态物理,2,5,0.4
材料学,5,12,0.416666667
金融学,4,9,0.444444444
国外马克思主义研究,5,10,0.5
材料物理与化学,13,22,0.590909091
运筹学与控制论,2,3,0.666666667
生态学,7,10,0.7
统计学,5,7,0.714285714
生物信息学,3,4,0.75
伦理学,3,4,0.75
高分子化学与物理,32,38,0.842105263
眼科学（专业学位）,6,7,0.857142857
外科学（专业学位）,23,26,0.884615385
集成电路工程,9,10,0.9
基础数学,5,5,1
数理经济,4,4,1
物理化学,21,21,1
病原生物学,1,1,1
生物化学与分子生物学,8,7,1.142857143
逻辑学,10,8,1.25
保险学,10,8,1.25
马克思主义发展史,13,10,1.3
光子学与光子技术,4,3,1.333333333
光学,4,3,1.333333333
软件工程,12,9,1.333333333
科学技术哲学,4,3,1.333333333
制药工程,63,46,1.369565217
材料工程,42,30,1.4
社会工作与社会政策,7,5,1.4
财政学,17,12,1.416666667
日语口译,15,10,1.5
金融工程,3,2,1.5
保险,59,38,1.552631579
产业经济学,14,9,1.555555556
计算数学,11,7,1.571428571
俄语语言文学,11,7,1.571428571
区域经济学,11,7,1.571428571
国际关系,50,30,1.666666667
公司治理,10,6,1.666666667
旅游管理（专业学位）,25,15,1.666666667
无机化学,51,30,1.7
神经病学（专业学位）,7,4,1.75
管理科学与工程,30,17,1.764705882
人力资源管理,23,13,1.769230769
国际贸易学,25,14,1.785714286
环境管理与经济,39,21,1.857142857
妇产科学（专业学位）,17,9,1.888888889
概率论与数理统计,4,2,2
光学工程（专业学位）,12,6,2
化学生物学,6,3,2
动物学,24,12,2
内科学（专业学位）,48,24,2
耳鼻咽喉科学（专业学位）,2,1,2
汉语言文字学,2,1,2
人类学,6,3,2
公共政策,2,1,2
科学社会主义与国际共产主义运动,12,6,2
电子科学与技术,102,50,2.04
生物工程,76,37,2.054054054
艺术设计,15,7,2.142857143
物流学,13,6,2.166666667
化学工程,111,51,2.176470588
基础数学,54,24,2.25
微生物学,14,6,2.333333333
麻醉学（专业学位）,7,3,2.333333333
美学,7,3,2.333333333
政治经济学,7,3,2.333333333
计算机科学与技术,144,61,2.360655738
光学,85,36,2.361111111
肿瘤学（专业学位）,19,8,2.375
生理学,72,30,2.4
有机化学,152,62,2.451612903
应用数学,37,15,2.466666667
宗教学,5,2,2.5
情报学,20,8,2.5
金融学,51,20,2.55
概率论与数理统计,41,16,2.5625
植物学,37,14,2.642857143
粒子物理与原子核物理,8,3,2.666666667
国际政治,8,3,2.666666667
世界经济,128,47,2.723404255
微生物学,74,27,2.740740741
物流工程,47,17,2.764705882
教育经济与管理,20,7,2.857142857
环境科学,95,33,2.878787879
微生物与生化药学,125,43,2.906976744
控制科学与工程,109,37,2.945945946
工商管理,86,29,2.965517241
考古学,9,3,3
国际法学,36,12,3
国际政治,3,1,3
图书馆学,15,5,3
世界史,64,21,3.047619048
税务,150,49,3.06122449
精算学,37,12,3.083333333
应用统计,140,45,3.111111111
光学工程,107,34,3.147058824
凝聚态物理,95,30,3.166666667
影像医学与核医学（专业学位）,19,6,3.166666667
会计学,108,34,3.176470588
社会学,40,12,3.333333333
金融工程,45,13,3.461538462
外国哲学,21,6,3.5
国际商务,238,68,3.5
环境工程（专业学位）,183,52,3.519230769
中共党史,25,7,3.571428571
生物化学与分子生物学,166,46,3.608695652
理论物理,44,12,3.666666667
生命信息物理学,11,3,3.666666667
英语语言文学,151,41,3.682926829
劳动经济学,37,10,3.7
英语口译,231,62,3.725806452
汉语言文字学,30,8,3.75
旅游管理,45,12,3.75
软件工程（专业学位）,49,13,3.769230769
文物与博物馆,87,23,3.782608696
西方经济学,31,8,3.875
环境工程,121,31,3.903225806
中国史,175,44,3.977272727
应用数学,8,2,4
农药学,4,1,4
高分子化学与物理,4,1,4
内科学,4,1,4
经济法学,28,7,4
环境与资源保护法学,20,5,4
中外政治制度,4,1,4
公共管理,57,14,4.071428571
计算机技术,221,52,4.25
城市经济学,17,4,4.25
艺术学理论,13,3,4.333333333
数量经济学,26,6,4.333333333
金融,642,144,4.458333333
遗传学,27,6,4.5
人口、资源与环境经济学,9,2,4.5
日语语言文学,46,10,4.6
思想政治教育,46,10,4.6
马克思主义哲学,51,11,4.636363636
行政管理,93,20,4.65
信息与通信工程,98,21,4.666666667
中国近现代史基本问题研究,14,3,4.666666667
药物化学,261,55,4.745454545
控制工程,81,17,4.764705882
生药学,83,17,4.882352941
口腔医学,123,25,4.92
金融学,266,54,4.925925926
分析化学,95,19,5
世界史,25,5,5
诉讼法学,31,6,5.166666667
产业经济学,233,45,5.177777778
中国哲学,37,7,5.285714286
图书情报,164,30,5.466666667
语言学及应用语言学,22,4,5.5
法律史,11,2,5.5
政治学理论,84,15,5.6
社会工作,148,25,5.92
儿科学（专业学位）,6,1,6
传播学,72,12,6
美术学,36,6,6
设计学,79,13,6.076923077
应用心理,110,18,6.111111111
区域经济学,202,33,6.121212121
新闻与传播,170,27,6.296296296
马克思主义基本原理,19,3,6.333333333
民商法学,64,10,6.4
马克思主义中国化研究,39,6,6.5
宪法学与行政法学,41,6,6.833333333
汉语国际教育,208,30,6.933333333
文艺学,28,4,7
资源循环科学与工程,22,3,7.333333333
电子与通信工程,194,26,7.461538462
外国语言学及应用语言学,31,4,7.75
临床检验诊断学,8,1,8
社会保障,40,5,8
世界经济,16,2,8
新闻学,57,7,8.142857143
企业管理,393,48,8.1875
细胞生物学,88,10,8.8
档案学,9,1,9
刑法学,57,6,9.5
中国古典文献学,10,1,10
金融学,120,12,10
语言学及应用语言学,71,7,10.14285714
比较文学与世界文学,72,7,10.28571429
法学理论,21,2,10.5
中国现当代文学,165,15,11
会计,340,30,11.33333333
法律（非法学）,713,60,11.88333333
法律（法学）,604,45,13.42222222
口腔临床医学,14,1,14
中国古代文学,277,15,18.46666667
应用心理学,221,10,22.1
